GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2020,2020,2020,AFR,Africa,ZWE,Zimbabwe,,,,24.13651041,24.14 [9.06-46.12],9.06243766,46.12253217
MALARIA_INDIG,Number of indigenous malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-malaria-cases,2019,2019,2019,AFR,Africa,ZWE,Zimbabwe,,,,308173.0,308 173,,
MALARIA_PF_INDIG,Number of indigenous P. falciparum malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-p.-falciparum-malaria-cases,2021,2021,2021,AFR,Africa,ZWE,Zimbabwe,,,,133137.0,133 137,,
MALARIA_PF_INDIG,Number of indigenous P. falciparum malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-p.-falciparum-malaria-cases,2015,2015,2015,AFR,Africa,ZWE,Zimbabwe,,,,484614.0,484 614,,
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2019,2019,2019,AFR,Africa,ZWE,Zimbabwe,,,,16.65684415,16.66 [6.15-31.65],6.153593733,31.65174605
MALARIA_INDIG,Number of indigenous malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-malaria-cases,2022,2022,2022,AFR,Africa,ZWE,Zimbabwe,,,,141076.0,141 076,,
MALARIA_SUSPECTS,Number of suspected malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-suspected-malaria-cases,2019,2019,2019,AFR,Africa,ZWE,Zimbabwe,,,,1324299.0,1 324 299,,
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2007,2007,2007,AFR,Africa,ZWE,Zimbabwe,,,,167.623628,167.62 [72.05-292.20],72.05225565,292.2019071
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-number-of-malaria-cases-presumed-confirmed-cases,2018,2018,2018,AFR,Africa,ZWE,Zimbabwe,,,,266789.0,266 789,,
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2004,2004,2004,AFR,Africa,ZWE,Zimbabwe,,,,26.26000797,26.26 [4.88-73.35],4.877922286,73.34829993
MALARIA_IMPORTED,Number of imported malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-imported-malaria-cases,2017,2017,2017,AFR,Africa,ZWE,Zimbabwe,,,,768.0,768,,
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2013,2013,2013,AFR,Africa,ZWE,Zimbabwe,,,,20.03651884,20.04 [8.35-35.72],8.346057414,35.72386252
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2023,2023,2023,AFR,Africa,ZWE,Zimbabwe,,,,12.64454966,12.64 [4.75-24.29],4.748506358,24.29451651
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2022,2022,2022,AFR,Africa,ZWE,Zimbabwe,,,,7.397333546,7.40 [2.72-14.09],2.718678141,14.09148573
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-number-of-malaria-cases-presumed-confirmed-cases,2020,2020,2020,AFR,Africa,ZWE,Zimbabwe,,,,447381.0,447 381,,
MALARIA_CONF_CASES,Number of confirmed malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-confirmed-malaria-cases,2024,2024,2024,AFR,Africa,ZWE,Zimbabwe,,,,56672.0,56 672,,
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2018,2018,2018,AFR,Africa,ZWE,Zimbabwe,,,,13.71791589,13.72 [5.22-25.80],5.220241393,25.79732641
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2005,2005,2005,AFR,Africa,ZWE,Zimbabwe,,,,102.5884477,102.59 [22.92-253.02],22.92300518,253.0204839
MALARIA_PF_INDIG,Number of indigenous P. falciparum malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-p.-falciparum-malaria-cases,2023,2023,2023,AFR,Africa,ZWE,Zimbabwe,,,,246154.0,246 154,,
